 -4.02 0.9 0.003494645 -0.9999939
 -4.02 0.9 0.003494645 -0.9999939
 -4.02 0.9 0.003494645 -0.9999939
 -4.02 0.9 0.003494645 -0.9999939
 -4.02 0.9 0.003494645 -0.9999939
 -4.02 0.9 0.003494645 -0.9999939
 -4.02 0.9 0.003494645 -0.9999939
 -4.02 0.9 0.003494645 -0.9999939
 -4.02 0.9 0.003494645 -0.9999939
 -4.02 0.9 0.003494645 -0.9999939
 -4.02 0.9 0.003494645 -0.9999939
 -4.02 0.9 0.003494645 -0.9999939
 -4.02 0.9 0.003494645 -0.9999939
 -4.02 0.9 0.003494645 -0.9999939
 -4.02 0.9 0.003494645 -0.9999939
 -4.02 0.9 0.003494645 -0.9999939
 -4.02 0.9 0.003494645 -0.9999939
 -4.02 0.9 0.003494645 -0.9999939
 -4.02 0.9 0.003494645 -0.9999939
W -4.020419 0.9599985 0.003494645 -0.9999939
W -4.020838 1.019997 0.003494645 -0.9999939
W -4.021572 1.079993 0.00611245 -0.9999813
W -4.024189 1.139935 0.0218192 -0.9997619
W -4.030045 1.199649 0.04885436 -0.9988059
W -4.039948 1.258826 0.08281264 -0.9965652
W -4.054363 1.317069 0.1210076 -0.9926516
W -4.072904 1.374132 0.1564389 -0.9876876
W -4.0947 1.430033 0.1848139 -0.9827735
W -4.119296 1.48476 0.2096233 -0.9777822
W -4.146082 1.522764 0.2317526 -0.9727747
W -4.174946 1.524551 0.2562945 -0.9665987
W -4.206882 1.526383 0.2848574 -0.9585699
W -4.242468 1.529029 0.3197918 -0.9474878
W -4.282231 1.532759 0.3616299 -0.9323218
W -4.32621 1.537394 0.4067418 -0.9135432
W -4.373453 1.54163 0.4446401 -0.8957093
W -4.40846 1.535601 0.4954638 -0.8686286
W -4.452035 1.528001 0.5358319 -0.8443246
W -4.505097 1.527449 0.5735815 -0.8191485
W -4.563026 1.535711 0.6080737 -0.7938806
W -4.621779 1.540328 0.6313577 -0.7754917
W -4.681196 1.545417 0.6560637 -0.7547056
W -4.740994 1.549996 0.6775227 -0.7355019
W -4.800968 1.551775 0.696544 -0.7175142
W -4.860963 1.551041 0.7114176 -0.7027695
W -4.920887 1.548005 0.7247779 -0.6889825
W -4.9806 1.542149 0.7408088 -0.6717159
W -5.039956 1.533383 0.7569993 -0.6534157
W -5.098854 1.521934 0.7716287 -0.6360734
W -5.157268 1.508232 0.7836973 -0.6211429
W -5.215114 1.492298 0.7954774 -0.6059833
W -5.272399 1.474455 0.8054153 -0.5927109
W -5.329164 1.455019 0.8136123 -0.5814077
W -5.385509 1.434399 0.8196563 -0.5728556
W -5.441486 1.412798 0.8246244 -0.5656807
W -5.497195 1.390515 0.8280646 -0.5606327
W -5.552547 1.36736 0.8324422 -0.5541119
W -5.607654 1.343626 0.8353321 -0.5497457
W -5.662593 1.319509 0.8372459 -0.5468267
W -5.717405 1.295104 0.8386745 -0.544633
W -5.772132 1.270508 0.8396238 -0.5431683
