 -15.13633 2.257618 0.04185669 0.9991236
 -15.13633 2.257618 0.04185669 0.9991236
 -15.13633 2.257618 0.04185669 0.9991236
 -15.13633 2.257618 0.04185669 0.9991236
 -15.13633 2.257618 0.04185669 0.9991236
 -15.13633 2.257618 0.04185669 0.9991236
 -15.13633 2.257618 0.04185669 0.9991236
 -15.13633 2.257618 0.04185669 0.9991236
 -15.13633 2.257618 0.04185669 0.9991236
 -15.13633 2.257618 0.04185669 0.9991236
 -15.13633 2.257618 0.04185669 0.9991236
 -15.13633 2.257618 0.04185669 0.9991236
 -15.13633 2.257618 0.04098478 0.9991598
 -15.13633 2.257618 0.04098479 0.9991598
 -15.13633 2.257618 0.04098482 0.9991598
 -15.13633 2.257618 0.04098484 0.9991598
 -15.13633 2.257618 0.04098484 0.9991598
 -15.13633 2.257618 0.04098484 0.9991598
 -15.13633 2.257618 0.04098484 0.9991598
 -15.13633 2.257618 0.04098484 0.9991598
 -15.13633 2.257618 0.04098484 0.9991598
 -15.13633 2.257618 0.04098484 0.9991598
 -15.13633 2.257618 0.04098484 0.9991598
 -15.13633 2.257618 0.04098484 0.9991598
 -15.13633 2.257618 0.04098484 0.9991598
 -15.13633 2.257618 0.04098484 0.9991598
 -15.13633 2.257618 0.04098484 0.9991598
 -15.13633 2.257618 0.04098484 0.9991598
 -15.13633 2.257618 0.04098484 0.9991598
 -15.13633 2.257618 0.04098484 0.9991598
 -15.13633 2.257618 0.04098484 0.9991598
 -15.13633 2.257618 0.04098484 0.9991598
 -15.13633 2.257618 0.04098484 0.9991598
 -15.13633 2.257618 0.04098484 0.9991598
 -15.13633 2.257618 0.04098484 0.9991598
 -15.13633 2.257618 0.04098484 0.9991598
W -15.13142 2.317416 0.04098484 0.9991598
W -15.1265 2.377215 0.04098484 0.9991598
W -15.12148 2.437005 0.04185675 0.9991236
W -15.11521 2.496676 0.05231707 0.9986305
W -15.10718 2.556135 0.06712576 0.9977446
W -15.09697 2.61526 0.08539812 0.9963469
W -15.08286 2.673579 0.1183852 0.9929677
W -15.06552 2.731018 0.1460643 0.9892751
W -15.04461 2.787256 0.1770662 0.9841989
W -15.01944 2.841724 0.2147169 0.9766763
W -14.98981 2.893894 0.2554276 0.9668282
W -14.95548 2.943105 0.2998555 0.9539847
W -14.91668 2.988866 0.3444615 0.9388005
W -14.87396 3.030997 0.3858888 0.9225453
W -14.82793 3.069486 0.4233921 0.9059466
W -14.7792 3.1045 0.456305 0.8898234
W -14.72871 3.136916 0.4794415 0.8775738
W -14.67745 3.168089 0.490127 0.8716511
W -14.62646 3.199709 0.486319 0.8737813
W -14.57725 3.234039 0.4625059 0.8866162
W -14.53129 3.272608 0.4226013 0.9063157
W -14.48984 3.315988 0.3721606 0.9281684
W -14.45457 3.36453 0.3089993 0.9510623
W -14.42659 3.417606 0.24021 0.970721
W -14.40975 3.475195 0.1417467 0.989903
W -14.40265 3.534773 0.05928779 0.9982409
W -14.40516 3.594721 0.02096109 -0.9997803
W -14.41733 3.653473 0.1019432 -0.9947903
W -14.43815 3.709746 0.1762443 -0.9843464
W -14.46752 3.762069 0.2529322 -0.9674841
W -14.50404 3.809669 0.3214575 -0.946924
W -14.54735 3.851196 0.3923546 -0.9198141
W -14.59656 3.885523 0.4625394 -0.8865987
W -14.65072 3.911351 0.5336309 -0.8457175
W -14.70813 3.928791 0.5955399 -0.8033258
W -14.76745 3.937761 0.6521134 -0.7581214
W -14.82745 3.937968 0.7058858 -0.7083256
W -14.8869 3.929822 0.7535767 -0.65736
W -14.94466 3.913584 0.7970695 -0.6038876
W -14.99947 3.889178 0.8386818 -0.5446218
