 -14.86 4.28 0.4703519 -0.882479
 -14.86 4.28 0.4703519 -0.882479
 -14.86 4.28 0.4703519 -0.882479
 -14.86 4.28 0.4703519 -0.882479
 -14.86 4.28 0.4703519 -0.882479
 -14.86 4.28 0.4703519 -0.882479
 -14.86 4.28 0.4703519 -0.882479
 -14.86 4.28 0.4703519 -0.882479
 -14.86 4.28 0.4703519 -0.882479
 -14.86 4.28 0.4703519 -0.882479
 -14.86 4.28 0.4703519 -0.882479
 -14.86 4.28 0.4688109 -0.8832986
 -14.86 4.28 0.4463091 -0.8948789
 -14.86 4.28 0.423522 -0.9058858
 -14.86 4.28 0.4203572 -0.9073587
 -14.86 4.28 0.4203572 -0.9073587
 -14.86 4.28 0.4203572 -0.9073587
 -14.86 4.28 0.4203572 -0.9073587
 -14.86 4.28 0.4203572 -0.9073587
 -14.86 4.28 0.4203572 -0.9073587
 -14.86 4.28 0.4203572 -0.9073587
 -14.86 4.28 0.4203572 -0.9073587
 -14.86 4.28 0.4195653 -0.9077252
 -14.86 4.28 0.4203572 -0.9073587
 -14.86 4.28 0.4203572 -0.9073587
 -14.86 4.28 0.4203572 -0.9073587
 -14.86 4.28 0.4219401 -0.9066237
W -14.90657 4.317829 0.4298359 -0.902907
W -14.95425 4.35426 0.4431833 -0.896431
W -15.00376 4.388145 0.4664973 -0.8845226
W -15.05609 4.417495 0.505389 -0.8628916
W -15.11125 4.441118 0.5505855 -0.8347788
W -15.16898 4.45744 0.6033084 -0.797508
W -15.22847 4.465257 0.6594406 -0.7517567
W -15.28843 4.462938 0.7206386 -0.6933109
W -15.34709 4.450346 0.777774 -0.628544
W -15.40164 4.425356 0.8415789 -0.5401343
W -15.45023 4.390161 0.8906673 -0.4546556
W -15.49114 4.34627 0.9304638 -0.3663839
W -15.5239 4.295998 0.9586075 -0.284731
W -15.54548 4.240016 0.9831187 -0.1829694
W -15.55866 4.18148 0.9938788 -0.1104761
W -15.56491 4.121808 0.9986362 -0.05220964
W -15.56521 4.061808 0.9999969 -0.002491277
W -15.56112 4.001948 0.9994166 0.03415393
W -15.55348 3.942436 0.9979635 0.06378783
W -15.54325 3.883314 0.9963345 0.08554323
W -15.53097 3.824585 0.9946898 0.1029187
W -15.51684 3.766271 0.9929505 0.1185299
W -15.5011 3.708375 0.9911988 0.1323821
W -15.48414 3.65082 0.9897581 0.1427544
