 -14.932 0.974 0.009598213 0.9999539
 -14.932 0.974 0.009598213 0.9999539
 -14.932 0.974 0.009598213 0.9999539
 -14.932 0.974 0.009598213 0.9999539
 -14.932 0.974 0.009598213 0.9999539
 -14.932 0.974 0.009598213 0.9999539
 -14.932 0.974 0.009598213 0.9999539
 -14.932 0.974 0.009598213 0.9999539
 -14.932 0.974 0.009598213 0.9999539
 -14.932 0.974 0.009598213 0.9999539
 -14.932 0.974 0.009598213 0.9999539
 -14.932 0.974 0.009598213 0.9999539
 -14.932 0.974 0.009598213 0.9999539
 -14.932 0.974 0.009598213 0.9999539
 -14.932 0.974 0.009598213 0.9999539
 -14.932 0.974 0.009598213 0.9999539
 -14.932 0.974 0.009598213 0.9999539
 -14.932 0.974 0.009598213 0.9999539
 -14.932 0.974 0.009598213 0.9999539
 -14.932 0.974 0.009598213 0.9999539
 -14.932 0.974 0.009598213 0.9999539
 -14.932 0.974 0.009598213 0.9999539
 -14.932 0.974 0.009598213 0.9999539
E -14.932 0.974 0.009598213 0.9999539
E -14.932 0.974 0.009598213 0.9999539
E -14.932 0.974 0.009598213 0.9999539
E -14.932 0.974 0.009598213 0.9999539
E -14.932 0.974 0.009598213 0.9999539
E -14.932 0.974 0.009598213 0.9999539
E -14.932 0.974 0.009598213 0.9999539
E -14.932 0.974 0.009598213 0.9999539
E -14.932 0.974 0.009598213 0.9999539
E -14.932 0.974 0.009598213 0.9999539
E -14.932 0.974 0.009598213 0.9999539
E -14.932 0.974 0.009598213 0.9999539
E -14.932 0.974 0.009598213 0.9999539
E -14.932 0.974 0.009598213 0.9999539
E -14.932 0.974 0.009598213 0.9999539
E -14.932 0.974 0.009598213 0.9999539
E -14.932 0.974 0.009598213 0.9999539
E -14.932 0.974 0.009598213 0.9999539
E -14.932 0.974 0.009598213 0.9999539
E -14.932 0.974 0.009598213 0.9999539
E -14.932 0.974 0.009598213 0.9999539
E -14.932 0.974 0.009598213 0.9999539
E -14.932 0.974 0.009598213 0.9999539
E -14.932 0.974 0.009598213 0.9999539
E -14.932 0.974 0.009598213 0.9999539
E -14.932 0.974 0.009598213 0.9999539
E -14.932 0.974 0.009598213 0.9999539
E -14.932 0.974 0.009598213 0.9999539
E -14.932 0.974 0.009598213 0.9999539
_E -14.932 0.974 0.009598213 0.9999539
_E -14.932 0.974 0.009598213 0.9999539
_E -14.932 0.974 0.009598213 0.9999539
_E -14.932 0.974 0.009598213 0.9999539
_E -14.932 0.974 0.009598213 0.9999539
_E -14.932 0.974 0.009598213 0.9999539
_E -14.932 0.974 0.009598213 0.9999539
_E -14.932 0.974 0.009598213 0.9999539
_E -14.932 0.974 0.009598213 0.9999539
_E -14.932 0.974 0.009598213 0.9999539
_E -14.932 0.974 0.009598213 0.9999539
_E -14.932 0.974 0.009598213 0.9999539
_E -14.932 0.974 0.009598213 0.9999539
_E -14.932 0.974 0.009598213 0.9999539
W -14.93074 1.033987 0.01047084 0.9999452
W -14.92886 1.093957 0.01570637 0.9998767
W -14.92593 1.153886 0.02443123 0.9997016
W -14.92258 1.213792 0.0279207 0.9996101
W -14.91902 1.273687 0.0296653 0.9995599
W -14.91546 1.333581 0.0296653 0.9995599
W -14.91191 1.393475 0.0296653 0.9995599
W -14.90835 1.45337 0.0296653 0.9995599
W -14.90479 1.513264 0.0296653 0.9995599
W -14.90123 1.573159 0.0296653 0.9995599
W -14.89767 1.633053 0.0296653 0.9995599
W -14.89411 1.692948 0.0296653 0.9995599
W -14.89056 1.752842 0.0296653 0.9995599
W -14.887 1.812737 0.0296653 0.9995599
W -14.88344 1.872631 0.0296653 0.9995599
W -14.87988 1.932525 0.0296653 0.9995599
W -14.87632 1.99242 0.0296653 0.9995599
W -14.87277 2.052314 0.0296653 0.9995599
W -14.86931 2.112215 0.02879301 0.9995854
W -14.86607 2.172127 0.02704836 0.9996341
W -14.86293 2.232045 0.026176 0.9996574
W -14.85989 2.291968 0.02530363 0.9996798
W -14.85686 2.351891 0.02530363 0.9996798
W -14.85382 2.411814 0.02530363 0.9996798
W -14.85079 2.471737 0.02530363 0.9996798
W -14.84775 2.531661 0.02530363 0.9996798
W -14.84472 2.591584 0.02530363 0.9996798
_W -14.84472 2.591584 0.02530363 0.9996798
_W -14.84472 2.591584 0.02530363 0.9996798
_W -14.84472 2.591584 0.02443124 0.9997016
_W -14.84472 2.591584 0.02094148 0.9997807
_W -14.84472 2.591584 0.018324 0.9998322
_W -14.84472 2.591584 0.01308866 0.9999143
_W -14.84472 2.591584 0.008725605 0.999962
_W -14.84472 2.591584 0.006107683 0.9999813
