 -14.84472 2.591584 0.2232492 0.9747614
 -14.84472 2.591584 0.2249501 0.9743703
 -14.84472 2.591584 0.2258003 0.9741737
 -14.84472 2.591584 0.2275001 0.9737781
 -14.84472 2.591584 0.2275001 0.9737781
 -14.84472 2.591584 0.2275001 0.9737781
 -14.84472 2.591584 0.2275001 0.9737781
 -14.84472 2.591584 0.2275001 0.9737781
 -14.84472 2.591584 0.2275001 0.9737781
 -14.84472 2.591584 0.2275001 0.9737781
 -14.84472 2.591584 0.2275001 0.9737781
 -14.84472 2.591584 0.2275001 0.9737781
 -14.84472 2.591584 0.2275001 0.9737781
 -14.84472 2.591584 0.2275001 0.9737781
 -14.84472 2.591584 0.2275001 0.9737781
 -14.84472 2.591584 0.2275001 0.9737781
 -14.84472 2.591584 0.2300487 0.9731791
 -14.84472 2.591584 0.2342928 0.9721661
 -14.84472 2.591584 0.2359892 0.9717557
 -14.84472 2.591584 0.2376849 0.9713423
 -14.84472 2.591584 0.2385325 0.9711345
 -14.84472 2.591584 0.2385325 0.9711345
W -14.81683 2.644708 0.2393798 0.970926
W -14.78894 2.697831 0.2393798 0.970926
W -14.76105 2.750955 0.2393798 0.970926
W -14.73316 2.804079 0.2393798 0.970926
W -14.70527 2.857202 0.2393798 0.970926
W -14.67738 2.910326 0.2393798 0.970926
W -14.64949 2.96345 0.2393798 0.970926
W -14.6216 3.016573 0.2393798 0.970926
W -14.59445 3.070081 0.2325957 0.9725735
W -14.57033 3.125021 0.2053491 0.9786888
W -14.55159 3.182019 0.158157 0.987414
W -14.54015 3.240917 0.09584464 0.9953963
W -14.53899 3.300906 0.009598047 0.9999539
W -14.55137 3.359617 0.1036616 -0.9946126
W -14.57823 3.413266 0.2300507 -0.9731787
W -14.61938 3.456932 0.3689369 -0.9294544
W -14.67246 3.484915 0.5165344 -0.8562664
W -14.73167 3.494611 0.6474559 -0.7621029
W -14.79081 3.484502 0.7643598 -0.6447901
W -14.84354 3.455872 0.8594069 -0.5112923
W -14.88641 3.413892 0.9218636 -0.3875146
W -14.91829 3.363065 0.9610212 -0.2764748
W -14.94028 3.30724 0.9824507 -0.1865225
W -14.9553 3.249151 0.9920052 -0.1261974
W -14.96665 3.190233 0.9954796 -0.09497532
W -14.97665 3.131073 0.996493 -0.0836757
W -14.98542 3.071717 0.9973147 -0.07323586
W -14.99284 3.012177 0.9980813 -0.06191694
