 19.94 0.1 0.7253759 -0.6883529
 19.94 0.1 0.7253759 -0.6883529
 19.94 0.1 0.7253759 -0.6883529
 19.94 0.1 0.7253759 -0.6883529
 19.94 0.1 0.7253759 -0.6883529
 19.94 0.1 0.7253759 -0.6883529
W 19.88008 0.09685958 0.7253759 -0.6883529
W 19.82017 0.09371916 0.7253759 -0.6883529
W 19.76025 0.09057874 0.7253759 -0.6883529
W 19.70033 0.08743832 0.7253759 -0.6883529
W 19.64041 0.0842979 0.7253759 -0.6883529
W 19.5805 0.08115748 0.7253759 -0.6883529
W 19.52058 0.07801706 0.7253759 -0.6883529
W 19.46066 0.07487664 0.7253759 -0.6883529
W 19.40074 0.07173622 0.7253759 -0.6883529
W 19.34083 0.0685958 0.7253759 -0.6883529
W 19.28091 0.06545538 0.7253759 -0.6883529
W 19.22099 0.06231496 0.7253759 -0.6883529
W 19.16107 0.05917454 0.7253759 -0.6883529
W 19.10116 0.05603411 0.7253759 -0.6883529
W 19.04124 0.05289369 0.7253759 -0.6883529
W 18.98132 0.04975327 0.7253759 -0.6883529
W 18.9214 0.04661284 0.7253759 -0.6883529
W 18.86149 0.04347242 0.7253759 -0.6883529
W 18.80157 0.040332 0.7253759 -0.6883529
W 18.74165 0.03719157 0.7253759 -0.6883529
W 18.68173 0.03405115 0.7253759 -0.6883529
W 18.6218 0.03122451 0.7235712 -0.6902497
W 18.56184 0.02902562 0.7199473 -0.6940287
W 18.50186 0.02766409 0.7150847 -0.6990378
W 18.44186 0.02714019 0.7101872 -0.7040129
W 18.38186 0.02703516 0.7077254 -0.7064877
W 18.32186 0.02703484 0.7071086 -0.7071049
W 18.26186 0.02713924 0.7064914 -0.7077217
W 18.20186 0.02724363 0.7064914 -0.7077217
W 18.14186 0.02734803 0.7064914 -0.7077217
W 18.08186 0.02745242 0.7064914 -0.7077217
W 18.02186 0.02755682 0.7064914 -0.7077217
W 17.96186 0.02766122 0.7064914 -0.7077217
W 17.90187 0.02776561 0.7064914 -0.7077217
W 17.84187 0.02787001 0.7064914 -0.7077217
W 17.78187 0.0279744 0.7064914 -0.7077217
W 17.72187 0.0280788 0.7064914 -0.7077217
W 17.66187 0.02818319 0.7064914 -0.7077217
W 17.60187 0.02828759 0.7064914 -0.7077217
W 17.54187 0.02839199 0.7064914 -0.7077217
W 17.48187 0.02849638 0.7064914 -0.7077217
W 17.42187 0.02860078 0.7064914 -0.7077217
W 17.36187 0.02860046 0.7071086 -0.7071049
W 17.30187 0.02880961 0.7058733 -0.7083381
W 17.24187 0.02933291 0.7040164 -0.7101837
W 17.18188 0.02996092 0.7033964 -0.7107977
W 17.12188 0.03058894 0.7033964 -0.7107977
W 17.06188 0.03121695 0.7033964 -0.7107977
W 17.00188 0.03194967 0.702776 -0.7114113
W 16.94189 0.03278709 0.7021549 -0.7120243
W 16.8819 0.03372924 0.7015331 -0.7126368
W 16.82191 0.03467139 0.7015331 -0.7126368
W 16.76192 0.03561354 0.7015331 -0.7126368
W 16.70192 0.03655569 0.7015331 -0.7126368
W 16.64193 0.03749783 0.7015331 -0.7126368
W 16.58194 0.03843998 0.7015331 -0.7126368
W 16.52195 0.03938213 0.7015331 -0.7126368
W 16.46196 0.04032428 0.7015331 -0.7126368
W 16.40196 0.04126643 0.7015331 -0.7126368
W 16.34197 0.04220857 0.7015331 -0.7126368
W 16.28198 0.04315072 0.7015331 -0.7126368
W 16.22199 0.04419757 0.700911 -0.7132488
W 16.162 0.04545378 0.6996653 -0.7144707
W 16.10202 0.04702407 0.6977924 -0.7163001
W 16.04205 0.04869901 0.6971673 -0.7169086
W 15.98207 0.05037394 0.6971673 -0.7169086
